loss,mae,rmse,val_loss,val_mae,val_rmse,val_phys_r2,val_phys_mae,val_phys_rmse,val_phys_bias,val_phys_p95_ae,val_phys_p99_ae,val_phys_max_ae,val_negative_pred_pct,val_pred_min,val_pred_max,val_tail_ge_5_count,val_tail_ge_5_mae,val_tail_ge_5_rmse,val_tail_ge_5_r2,val_tail_ge_10_count,val_tail_ge_10_mae,val_tail_ge_10_rmse,val_tail_ge_10_r2,val_tail_ge_15_count,val_tail_ge_15_mae,val_tail_ge_15_rmse,val_tail_ge_15_r2,val_cluster_1_mae,val_cluster_1_r2,val_cluster_2_mae,val_cluster_2_r2,val_cluster_3_mae,val_cluster_3_r2,val_cluster_4_mae,val_cluster_4_r2,val_cluster_5_mae,val_cluster_5_r2,val_cluster_6_mae,val_cluster_6_r2,val_cluster_7_mae,val_cluster_7_r2,val_cluster_8_mae,val_cluster_8_r2,val_cluster_9_mae,val_cluster_9_r2,val_cluster_10_mae,val_cluster_10_r2,val_worst_cluster_mae,val_worst_cluster_id,lr
0.7200993895530701,0.2967110872268677,0.4741970896720886,0.3167353868484497,0.1388121247291565,0.1971907615661621,0.8130937859095332,0.9042454997399799,1.319794722969955,-0.3116691134216364,2.716589105129241,4.731600896120078,22.77155876159668,32.00550964187328,-3.2620008178055286,10.578789353370667,7197,1.4972325353768121,2.1331853315887064,-0.1900859444268237,881,3.508797048190429,4.238491364843012,-8.249785906640014,25,8.773290977478027,9.535843147837607,-34.38888618533972,0.7095879749566841,-10.735583040376902,0.4628069222523008,-1.310803321420356,0.6261214694786529,-0.8331507751750868,0.49972701204718417,-0.4470079049225517,1.1361560210526653,0.7293674389074012,0.733281538412828,-1.8750681304014831,1.2870328770907848,0.45171377520022804,1.1195767150755709,0.5617684478383915,1.2143596402417218,0.7813827484053977,1.3612078495856368,0.5833539946087773,1.3612078495856368,10,0.00015
0.3574811816215515,0.17061609029769897,0.23165905475616455,0.29945701360702515,0.12420791387557983,0.1838483363389969,0.8435558050312787,0.7937411426544926,1.2074641454613888,-0.3376451472041884,2.5411511212587357,4.453438298702241,22.476900100708008,25.523415977961434,-3.181149184703827,10.501224637031555,7197,1.4799989125355708,2.0508646034552926,-0.10000618642790693,881,3.471541248948396,4.049720840421125,-7.444214357426496,25,8.335198905467987,9.017110720189093,-30.643426222771797,0.44606758318935213,-3.9468075801128446,0.4430587608965207,-0.6139785060185545,0.37258542869725025,-0.14252354103134013,0.44872720789564086,-0.10633453343939903,1.0783721489246998,0.7411989092190281,0.6367553211361354,-1.1829550188453744,1.2497165331036346,0.48625041987091155,1.042555768944463,0.6195857497924802,1.1204509959820546,0.8144849936139318,1.1930299516097953,0.6648415839817903,1.2497165331036346,7,0.00015
0.32425829768180847,0.14955292642116547,0.20813912153244019,0.3002817928791046,0.12867149710655212,0.18838447332382202,0.8268952210245569,0.8731717928583896,1.270132550546,0.5122005870533484,2.7417918831109955,4.263974046111107,22.593976974487305,0.9669421487603306,-1.3615312576293945,12.366336107254028,7197,1.3069517821087218,1.7760869145640605,0.17500830281548196,881,2.2853100325581357,3.0987393291354053,-3.9440079889668116,25,6.986022868156433,7.9560224867068445,-23.63432689471773,0.1908138849636044,-0.7396625450741585,0.31186979250332963,0.10658215935252169,0.44614481728212774,-0.27901303540345057,0.4263175168675785,0.11898031034560907,1.0963033886688056,0.7453491342395542,0.8941108819348462,-2.756959032345952,1.4470391853627609,0.44228059561973987,1.2002146502432618,0.6037571516010991,1.411334954917357,0.7618573037607539,1.4462120977786408,0.58388321563669,1.4470391853627609,7,0.00015
0.3060606122016907,0.13916370272636414,0.1967407763004303,0.2750113010406494,0.11520206928253174,0.16951528191566467,0.8669878944114877,0.7420863882613992,1.113371503501531,0.22935700871338055,2.2885883212089535,4.152768573164945,22.148897171020508,6.8264462809917354,-1.866225122474134,13.076895713806152,7197,1.2754118104889212,1.8298606077433355,0.12429634055503713,881,2.6497633828613463,3.433713921880111,-5.070679346106248,25,7.557623434066772,8.378319261143826,-26.31885588456444,0.35481326699817356,-2.01350846307895,0.5239299574215379,-0.7955394404784719,0.40952324270939183,-0.16423571020099081,0.6861601922058861,-0.49017861114082706,0.993548625559662,0.7873620662210468,0.3917418370272288,0.06146337491298948,1.1764530933253088,0.5590775651462279,0.9774691743705203,0.6608589395794741,1.0325174127029821,0.8510533967933396,0.981744889061802,0.7260906019064457,1.1764530933253088,7,0.00015
0.2900333106517792,0.13165554404258728,0.1878802478313446,0.2621854245662689,0.1090211570262909,0.16324083507061005,0.8776618746213094,0.6798626672894785,1.0677643774899204,0.1762428437580178,2.2792884975671766,3.965749979615215,23.214902877807617,4.126721763085399,-1.4425255060195923,11.557603120803833,7197,1.254682143308624,1.7974978621045903,0.15499765606539428,881,2.7013083839926195,3.444101864292571,-5.107465903611325,25,7.535891861915588,8.397933334895832,-26.4469152828465,0.2893012150079304,-2.2415392055810432,0.29507241329560746,0.24378245525458375,0.3531153842110374,-0.26135502362869323,0.46282912142482663,0.08088314150664955,0.9314077968389948,0.8099137493870945,0.3776516188073766,0.11373285859257998,1.1193863213930568,0.6077385714004815,1.051298212545889,0.6696158221256632,1.0423200857322716,0.8526682364655183,1.0009450628442775,0.7252315969898964,1.1193863213930568,7,0.00015
0.27302080392837524,0.12339594960212708,0.17855238914489746,0.24962487816810608,0.10058018565177917,0.15780115127563477,0.8843858643308519,0.6398060647467132,1.0380062909415633,-0.2014923695277539,2.1623921334743486,3.945975508615376,21.89369773864746,14.776859504132231,-2.390240926295519,12.449440956115723,7197,1.306556639843861,1.8410785127516713,0.11352647978499142,881,2.625556807258884,3.347963501285853,-4.7712582040176885,25,7.364658236503601,8.079855386322242,-24.407145339243236,0.2835090242485647,-1.1722156354005526,0.22668809561314004,0.446094297890699,0.26270094351945794,0.10407153005369585,0.3769211014813944,0.17665874415823812,0.8824287264112272,0.8222038766793909,0.43696893955374766,-0.08359686112846587,1.059490654536376,0.6282320061837027,0.8619586242676044,0.6970275805702171,1.0472397387987564,0.8458190782087445,1.0858566697939296,0.7261179910400395,1.0858566697939296,10,0.00015
0.25703272223472595,0.11672289669513702,0.17029641568660736,0.23041169345378876,0.09527557343244553,0.14480631053447723,0.9042170208160621,0.5918398636679745,0.9447973962120394,0.12112557836419724,1.9659025311470024,3.522947378158574,22.16860008239746,5.1267217630854,-1.248594163917005,12.23287296295166,7197,1.1368656247605518,1.6238636713386927,0.3103634340932777,881,2.0190918542408762,2.879138208808022,-3.2680952360237896,25,6.717295634746551,7.584532590073109,-21.387538199983844,0.16958039048777881,-0.032265307845022795,0.2656564126199681,0.3775459125464361,0.2984289627108453,0.036890265337275796,0.3747570836501659,0.2183403453947187,0.8335166300912833,0.8570477418330337,0.39661992068783686,0.07655269604302184,1.0202829685744672,0.6657557450050906,0.9208939258370654,0.7506434850042012,0.9583116473773555,0.881253706822452,0.8167094155495299,0.7924513513325715,1.0202829685744672,7,0.00015
0.24110695719718933,0.11072611063718796,0.16182854771614075,0.21567346155643463,0.08641593158245087,0.13609330356121063,0.9132028181275721,0.5361765143033868,0.8993884988209135,0.07048296097302059,1.910785871744154,3.527623460292832,21.399208068847656,6.289256198347107,-1.0275568962097168,12.080200433731079,7197,1.0509562407270774,1.4957589186270057,0.4148807979923982,881,1.8207387655654184,2.4792023197151005,-2.1647034067332345,25,5.837344918251038,6.694794808661533,-16.443082613251605,0.2633748164455671,-0.8424313792823994,0.210157995830878,0.5405386643416958,0.25862716901201493,0.13556663165414173,0.3707170370507795,0.2321425331494139,0.7645684899378579,0.875845682327161,0.2854404885362602,0.45767799838620826,0.8934970597872283,0.737606981662049,0.7566908073688648,0.7547366169320635,0.7302836357103063,0.9199191983194395,0.8582448944259522,0.7813418428833557,0.8934970597872283,7,0.00015
0.22830107808113098,0.10693319886922836,0.15601396560668945,0.21039073169231415,0.0906374379992485,0.1386673003435135,0.9067730924459464,0.5970893772424016,0.9321056842440978,-0.3267677546298546,1.8616463243961334,3.4704459929466283,20.946748733520508,18.234159779614327,-1.4363662004470825,12.448390483856201,7197,1.1440079431349077,1.629236177769465,0.30579259970478523,881,2.2767353333959885,2.9640592845921887,-3.5235859546050756,25,6.72643431186676,7.467747495435268,-20.703408563958195,0.2521177249459521,-1.4100114353612145,0.26976339572159286,0.26242914288337627,0.32893052450199284,0.012773211576189603,0.4143860182844095,0.12092348289520827,0.7427258560282352,0.8803534656844173,0.43418668411705663,-0.07698736735938372,0.945772599929063,0.7194247947160011,0.8308530368919812,0.7501485715813311,0.8113761106808861,0.9048048792500978,0.9688018772257962,0.7740671051565953,0.9688018772257962,10,0.00015
0.2154662311077118,0.10211647301912308,0.149616077542305,0.19308806955814362,0.08027562499046326,0.12524040043354034,0.9259903428585393,0.5125859231221608,0.8304982341705733,0.06769770178286623,1.7176964789628975,3.0708471190929534,20.52176284790039,4.404958677685951,-0.9251617789268494,13.088325500488281,7197,0.9545506818770744,1.3712396662399229,0.508246019455372,881,1.7249044537836016,2.34699264756678,-1.8361717936296467,25,5.491213293075561,6.392814080241322,-14.904969649036333,0.21959616508286955,-1.5337170251137868,0.22616850193750773,0.3077978011652662,0.3271280660355744,-0.06610199358120239,0.39167785465379434,0.20595048520580583,0.7029727519698834,0.8931392553630422,0.3174141492617078,0.3730649175309312,0.8596832361843034,0.767924701605714,0.7041422817474824,0.8226340547583316,0.7078530243969196,0.9210575883519678,0.7197497783895619,0.8369752385647704,0.8596832361843034,7,0.00015
